#node1	node2
STAT1	AAAS
STAT1	AADACP1
STAT1	AASS
STAT1	ACOT7
STAT1	ACSS2
STAT1	ACY3
STAT1	ADAR
STAT1	AFF1
STAT1	AGFG2
STAT1	AGT
STAT1	AGTPBP1
STAT1	AIG1
STAT1	AJUBA
STAT1	ALDOA
STAT1	ALKBH5
STAT1	ALPK1
STAT1	AMBP
STAT1	AMOTL2
STAT1	ANAPC4
STAT1	ANKFY1
STAT1	ANXA2R
STAT1	APOA2
STAT1	APOL2
STAT1	APOL6
STAT1	ARHGAP21
STAT1	ARHGEF10L
STAT1	ASAP1
STAT1	ASCC2
STAT1	ASPH
STAT1	ASRGL1
STAT1	ASXL1
STAT1	ATF6
STAT1	ATP6V0D1
STAT1	AUP1
STAT1	AZI2
STAT1	B2M
STAT1	B3GAT3
STAT1	BATF2
STAT1	BAZ2A
STAT1	BCL2L13
STAT1	BCL6
STAT1	BCLAF1
STAT1	BECN1
STAT1	BHLHE40
STAT1	BLZF1
STAT1	BOD1
STAT1	BTBD1
STAT1	BTBD3
STAT1	BUB1
STAT1	C11orf24
STAT1	C12orf4
STAT1	C12orf57
STAT1	C19orf12
STAT1	C1orf43
STAT1	C1RL
STAT1	C1S
STAT1	C2
STAT1	C2CD5
STAT1	C3
STAT1	C4BPA
STAT1	C4BPB
STAT1	C5
STAT1	C8A
STAT1	CABIN1
STAT1	CABLES2
STAT1	CAPZA2
STAT1	CASC3
STAT1	CASP4
STAT1	CASP7
STAT1	CASP8
STAT1	CBFA2T2
STAT1	CCDC47
STAT1	CCDC96
STAT1	CCL20
STAT1	CCNL1
STAT1	CD164
STAT1	CD274
STAT1	CDC26
STAT1	CDC7
STAT1	CDIPT
STAT1	CDK17
STAT1	CDK18
STAT1	CEACAM1
STAT1	CEP162
STAT1	CERS5
STAT1	CFB
STAT1	CFI
STAT1	CHKA
STAT1	CHMP5
STAT1	CIC
STAT1	CLP1
STAT1	CLU
STAT1	CMC1
STAT1	CMPK2
STAT1	CMTR1
STAT1	CNP
STAT1	CNTNAP1
STAT1	COASY
STAT1	COPE
STAT1	COQ10B
STAT1	COX14
STAT1	CPEB3
STAT1	CREBRF
STAT1	CREM
STAT1	CRKL
STAT1	CSF1
STAT1	CTNND1
