Symbol	Motif	col	Shape
APOL1	composite	#40E0D0	rectangle
ACOT7	ISRE	#FA8072	ellipse
APOL2	composite	#FA8072	rectangle
ACSL5	ISRE	#40E0D0	ellipse
APOL6	composite	#FA8072	rectangle
ACY3	ISRE	#FA8072	ellipse
AGFG2	GAS	#DAA520	diamond
ADAR	ISRE	#FA8072	ellipse
AGT	GAS	#FF0000	diamond
AIDA	ISRE	#40E0D0	ellipse
AIG1	GAS	#FFADAD	diamond
CASP1	composite	#40E0D0	rectangle
AP5Z1	ISRE	#40E0D0	ellipse
ANXA2R	GAS	#FF0000	diamond
CASP8	composite	#FFADAD	rectangle
APOA2	GAS	#FF0000	diamond
CD274	composite	#FA8072	rectangle
B2M	ISRE	#FA8072	ellipse
CFB	composite	#FA8072	rectangle
BATF2	ISRE	#FA8072	ellipse
ASAP1	GAS	#FF0000	diamond
BTN3A1	ISRE	#40E0D0	ellipse
ASXL1	GAS	#FF0000	diamond
CSF1	composite	#FA8072	rectangle
BTN3A2	ISRE	#40E0D0	ellipse
CTSO	composite	#40E0D0	rectangle
BTN3A3	ISRE	#40E0D0	ellipse
C5orf15	ISRE	#40E0D0	ellipse
DDX58	composite	#FA8072	rectangle
CASP4	ISRE	#FFADAD	ellipse
DTX3L	composite	#FA8072	rectangle
CASP7	ISRE	#FA8072	ellipse
BCL6	GAS	#FF0000	diamond
EPSTI1	composite	#ADFF2F	rectangle
BCLAF1	GAS	#DAA520	diamond
ETV6	composite	#FFADAD	rectangle
BOD1	GAS	#DAA520	diamond
ETV7	composite	#FFADAD	rectangle
CEACAM1	ISRE	#FA8072	ellipse
BTBD1	GAS	#DAA520	diamond
FGL1	composite	#ADFF2F	rectangle
CMPK2	ISRE	#FA8072	ellipse
C19orf12	GAS	#FF0000	diamond
C1RL	GAS	#FF0000	diamond
GBP3	composite	#FFADAD	rectangle
C1S	GAS	#ADFF2F	diamond
CYTH1	ISRE	#FA8072	ellipse
C2	GAS	#FF0000	diamond
DDX60	ISRE	#FA8072	ellipse
C4BPB	GAS	#DAA520	diamond
IFI35	composite	#FFADAD	rectangle
DDX60L	ISRE	#FA8072	ellipse
C5	GAS	#DAA520	diamond
IFI6	ISRE	#FA8072	ellipse
DNAJA1	ISRE	#FA8072	ellipse
IFIT5	ISRE	#FA8072	ellipse
DNPEP	ISRE	#FFADAD	ellipse
CREBRF	GAS	#FF0000	diamond
