#node1	node2
IRF9	ACOT7
IRF9	ACY3
IRF9	ADAR
IRF9	APOL2
IRF9	APOL6
IRF9	B2M
IRF9	BATF2
IRF9	C1S
IRF9	CASP7
IRF9	CD274
IRF9	CEACAM1
IRF9	CFB
IRF9	CMPK2
IRF9	CSF1
IRF9	CUTA
IRF9	CYTH1
IRF9	DDX58
IRF9	DDX60
IRF9	DDX60L
IRF9	DNAJA1
IRF9	DTX3L
IRF9	ERAP1
IRF9	FGL1
IRF9	GBP1
IRF9	GBP1P1
IRF9	GNB4
IRF9	GSDMD
IRF9	HLA-E
IRF9	IFI6
IRF9	IFIT1
IRF9	IFIT2
IRF9	IFIT3
IRF9	IFIT5
IRF9	IFITM3
IRF9	IRF1
IRF9	IRF2
IRF9	IRF9
IRF9	ISG15
IRF9	ISG20
IRF9	LAP3
IRF9	LGALS3BP
IRF9	MOV10
IRF9	MVB12A
IRF9	MX1
IRF9	MYD88
IRF9	NAPA
IRF9	NCOA7
IRF9	NMI
IRF9	OAS1
IRF9	OAS2
IRF9	OAS3
IRF9	OGFR
IRF9	PARP10
IRF9	PARP14
IRF9	PHF11
IRF9	PLSCR1
IRF9	PML
IRF9	PNPT1
IRF9	PRKD2
IRF9	RBCK1
IRF9	RBM43
IRF9	RNF213
IRF9	RPS12
IRF9	RPS6KB2
IRF9	RTP4
IRF9	SAMD9
IRF9	SEC16B
IRF9	SERPING1
IRF9	SHISA5
IRF9	SLC15A3
IRF9	SLFN12
IRF9	SMARCA5
IRF9	SOCS1
IRF9	SP100
IRF9	SP110
IRF9	SP140L
IRF9	SPTBN1
IRF9	STAT1
IRF9	STAT2
IRF9	STX17
IRF9	TAP1
IRF9	TAP2
IRF9	TAPBP
IRF9	TMEM140
IRF9	TRIM14
IRF9	TRIM26
IRF9	USP18
IRF9	VTN
IRF9	XAF1
IRF9	ZC3HAV1
