#node1	node2
STAT1	ACOT7
STAT1	ACY3
STAT1	ADAR
STAT1	AGFG2
STAT1	AGT
STAT1	AIG1
STAT1	ANXA2R
STAT1	APOA2
STAT1	APOL2
STAT1	APOL6
STAT1	ASAP1
STAT1	ASXL1
STAT1	B2M
STAT1	BATF2
STAT1	BCL6
STAT1	BCLAF1
STAT1	BOD1
STAT1	BTBD1
STAT1	C19orf12
STAT1	C1RL
STAT1	C1S
STAT1	C2
STAT1	C4BPB
STAT1	C5
STAT1	CASP4
STAT1	CASP7
STAT1	CASP8
STAT1	CD274
STAT1	CEACAM1
STAT1	CFB
STAT1	CMPK2
STAT1	CREBRF
STAT1	CSF1
STAT1	CUTA
STAT1	CYTH1
STAT1	DDX23
STAT1	DDX58
STAT1	DDX60
STAT1	DDX60L
STAT1	DEK
STAT1	DNAJA1
STAT1	DNPEP
STAT1	DPAGT1
STAT1	DTX3L
STAT1	EFNA1
STAT1	ETV6
STAT1	ETV7
STAT1	FAM111A
STAT1	FANCI
STAT1	FGA
STAT1	FGB
STAT1	FGL1
STAT1	GADD45B
STAT1	GBP1
STAT1	GBP1P1
STAT1	GBP3
STAT1	GCLM
STAT1	GCNT3
STAT1	GEN1
STAT1	GNA13
STAT1	GNB2
STAT1	GNB4
STAT1	GSDMD
STAT1	H6PD
STAT1	HABP2
STAT1	HIPK3
STAT1	HLA-E
STAT1	HNRNPR
STAT1	HPX
STAT1	ICAM1
STAT1	IFI35
STAT1	IFI6
STAT1	IFIT1
STAT1	IFIT2
STAT1	IFIT3
STAT1	IFIT5
STAT1	IFITM3
STAT1	IMPAD1
STAT1	INTS10
STAT1	IPO8
STAT1	IRF1
STAT1	IRF2
STAT1	IRF9
STAT1	ISG15
STAT1	ISG20
STAT1	LAP3
STAT1	LGALS3BP
STAT1	LSR
STAT1	MAFF
STAT1	MAN1A1
STAT1	MAPKAPK3
STAT1	MDK
STAT1	MED16
STAT1	MITD1
STAT1	MOV10
STAT1	MTPN
STAT1	MVB12A
STAT1	MX1
STAT1	MYD88
STAT1	NAMPT
STAT1	NAPA
STAT1	NCOA7
STAT1	NFKB2
STAT1	NFKBIZ
STAT1	NMI
STAT1	NNMT
STAT1	NUCB1
STAT1	OAS1
STAT1	OAS2
STAT1	OAS3
STAT1	OGFR
STAT1	OSMR
STAT1	PARP10
STAT1	PARP14
STAT1	PDE4D
STAT1	PHF11
STAT1	PLEKHB2
STAT1	PLSCR1
STAT1	PML
STAT1	PNPT1
STAT1	PRKD2
STAT1	PROS1
STAT1	PSMB3
STAT1	RAB27A
STAT1	RAD1
STAT1	RAP1A
STAT1	RBCK1
STAT1	RBM42
STAT1	RBM43
STAT1	RBM7
STAT1	RBP4
STAT1	RIPK1
STAT1	RNF213
STAT1	RPS12
STAT1	RPS6KB2
STAT1	RTP4
STAT1	SAMD9
STAT1	SCN9A
STAT1	SDSL
STAT1	SEC16B
STAT1	SEPHS2
STAT1	SERPINB1
STAT1	SERPIND1
STAT1	SERPING1
STAT1	SHC2
STAT1	SHISA5
STAT1	SKI
STAT1	SLC15A3
STAT1	SLC25A18
STAT1	SLC7A2
STAT1	SLFN12
STAT1	SMARCA5
STAT1	SMG1
STAT1	SMPD1
STAT1	SOCS1
STAT1	SOCS3
STAT1	SP100
STAT1	SP110
STAT1	SP140L
STAT1	SPTBN1
STAT1	SSBP4
STAT1	STAT1
STAT1	STAT2
STAT1	STAT3
STAT1	STX17
STAT1	TAP1
STAT1	TAP2
STAT1	TAPBP
STAT1	TCIRG1
STAT1	TMEM140
STAT1	TNFAIP1
STAT1	TOP1
STAT1	TRIM14
STAT1	TRIM26
STAT1	UBE2D1
STAT1	USP18
STAT1	VTN
STAT1	WSB1
STAT1	XAF1
STAT1	YPEL2
STAT1	ZC3HAV1
STAT1	ZNF24
