#node1	node2
IRF1	ACOT7
IRF1	ACSL5
IRF1	ACY3
IRF1	ADAR
IRF1	AIDA
IRF1	AIG1
IRF1	AP5Z1
IRF1	APOL1
IRF1	APOL2
IRF1	APOL6
IRF1	B2M
IRF1	BATF2
IRF1	BCL2L14
IRF1	BTN3A1
IRF1	BTN3A2
IRF1	BTN3A3
IRF1	C5orf15
IRF1	CASP1
IRF1	CASP4
IRF1	CASP7
IRF1	CASP8
IRF1	CD274
IRF1	CEACAM1
IRF1	CFB
IRF1	CMPK2
IRF1	CSF1
IRF1	CTSO
IRF1	CYTH1
IRF1	DDX58
IRF1	DDX60
IRF1	DDX60L
IRF1	DNAJA1
IRF1	DNPEP
IRF1	DTX3L
IRF1	ERAP1
IRF1	ETV6
IRF1	ETV7
IRF1	FAM111A
IRF1	GBP1
IRF1	GBP1P1
IRF1	GBP3
IRF1	GNA13
IRF1	GNB4
IRF1	GSDMD
IRF1	HLA-E
IRF1	IFI35
IRF1	IFI6
IRF1	IFIT1
IRF1	IFIT2
IRF1	IFIT3
IRF1	IFIT5
IRF1	IFITM3
IRF1	IL15
IRF1	IRF2
IRF1	ISG15
IRF1	ISG20
IRF1	KDSR
IRF1	LAP3
IRF1	LGALS3BP
IRF1	LOC153684
IRF1	MAN1A1
IRF1	MDK
IRF1	MOV10
IRF1	MVB12A
IRF1	MX1
IRF1	MYD88
IRF1	NAPA
IRF1	NCOA7
IRF1	NEDD1
IRF1	NFKBIZ
IRF1	NMI
IRF1	NOD1
IRF1	OAS1
IRF1	OAS2
IRF1	OAS3
IRF1	OGFR
IRF1	OPTN
IRF1	OTUD4
IRF1	PANX1
IRF1	PARP10
IRF1	PARP14
IRF1	PCNA
IRF1	PHF11
IRF1	PLSCR1
IRF1	PML
IRF1	PNPT1
IRF1	PRKD2
IRF1	PRRC2C
IRF1	PRRG4
IRF1	PSMB10
IRF1	PSME1
IRF1	RBCK1
IRF1	RBM43
IRF1	RBM7
IRF1	RIPK1
IRF1	RNF213
IRF1	RPS6KB2
IRF1	RTP4
IRF1	SAMD9
IRF1	SEC16B
IRF1	SHISA5
IRF1	SLC15A3
IRF1	SLFN12
IRF1	SMARCA5
IRF1	SOCS1
IRF1	SP100
IRF1	SP110
IRF1	SP140L
IRF1	SPTBN1
IRF1	STAT1
IRF1	STAT2
IRF1	STX17
IRF1	TAP1
IRF1	TAP2
IRF1	TAPBP
IRF1	TAPBPL
IRF1	TMEM140
IRF1	TRIM14
IRF1	TRIM26
IRF1	TRIM44
IRF1	USF1
IRF1	USP18
IRF1	XAF1
IRF1	ZC3H7B
IRF1	ZC3HAV1
IRF1	ZFYVE26
