#node1	node2
STAT1	A2M
STAT1	ADAR
STAT1	AGFG2
STAT1	AGT
STAT1	AIG1
STAT1	ANXA2R
STAT1	APOA2
STAT1	APOL1
STAT1	APOL2
STAT1	APOL6
STAT1	ASAP1
STAT1	ASXL1
STAT1	BATF2
STAT1	BCL2L14
STAT1	BCL6
STAT1	BCLAF1
STAT1	BOD1
STAT1	BTBD1
STAT1	C19orf12
STAT1	C1RL
STAT1	C1S
STAT1	C2
STAT1	C4BPB
STAT1	C5
STAT1	CASP4
STAT1	CD274
STAT1	CFB
STAT1	CMPK2
STAT1	CREBRF
STAT1	CSF1
STAT1	CUTA
STAT1	DDX23
STAT1	DDX60
STAT1	DEK
STAT1	DPAGT1
STAT1	DTX3L
STAT1	EFNA1
STAT1	ETV6
STAT1	ETV7
STAT1	FANCI
STAT1	FGA
STAT1	FGL1
STAT1	GADD45B
STAT1	GBP1
STAT1	GBP1P1
STAT1	GBP3
STAT1	GCLM
STAT1	GCNT3
STAT1	GEN1
STAT1	GNB2
STAT1	H6PD
STAT1	HABP2
STAT1	HIPK3
STAT1	HLA-E
STAT1	HNRNPR
STAT1	HPX
STAT1	ICAM1
STAT1	IFI35
STAT1	IFI6
STAT1	IFIT3
STAT1	IFITM3
STAT1	IMPAD1
STAT1	INTS10
STAT1	IPO8
STAT1	IRF1
STAT1	IRF2
STAT1	IRF9
STAT1	ISG15
STAT1	LAP3
STAT1	LGALS3BP
STAT1	LSR
STAT1	MAFF
STAT1	MAN1A1
STAT1	MAPKAPK3
STAT1	MED16
STAT1	MITD1
STAT1	MTPN
STAT1	MVB12A
STAT1	MX1
STAT1	MYD88
STAT1	NAMPT
STAT1	NAPA
STAT1	NCOA7
STAT1	NFKB2
STAT1	NFKBIZ
STAT1	NMI
STAT1	NNMT
STAT1	NUCB1
STAT1	OAS3
STAT1	OSMR
STAT1	PARP14
STAT1	PDE4D
STAT1	PLEKHB2
STAT1	PLSCR1
STAT1	PROS1
STAT1	PSMB3
STAT1	RAB27A
STAT1	RAD1
STAT1	RAP1A
STAT1	RBM42
STAT1	RBP4
STAT1	RIPK1
STAT1	RNF213
STAT1	SCN9A
STAT1	SDSL
STAT1	SEC16B
STAT1	SEPHS2
STAT1	SERPINB1
STAT1	SERPIND1
STAT1	SERPING1
STAT1	SHC2
STAT1	SHISA5
STAT1	SKI
STAT1	SLC25A18
STAT1	SLC7A2
STAT1	SMG1
STAT1	SMPD1
STAT1	SOCS3
STAT1	SP100
STAT1	SP110
STAT1	SPTBN1
STAT1	SSBP4
STAT1	STAT1
STAT1	STAT2
STAT1	STAT3
STAT1	TAP1
STAT1	TCIRG1
STAT1	TMEM140
STAT1	TNFAIP1
STAT1	TOP1
STAT1	UBE2D1
STAT1	USP18
STAT1	VTN
STAT1	WSB1
STAT1	YPEL2
STAT1	ZC3HAV1
STAT1	ZNF24
