Symbol	Motif	Target	Shape	colr
APOL1	composite	STAT1 + IRF1	rectangle	#caffbf
ACOT7	ISRE	IRF1	ellipse	#ffd6a5
A2M	GAS	STAT1	diamond	#fdffb6
APOL2	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
ACSL5	ISRE	IRF1	ellipse	#ffd6a5
APOL6	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
ACY3	ISRE	IRF1	ellipse	#ffd6a5
AGFG2	GAS	STAT1	diamond	#fdffb6
ADAR	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
AGT	GAS	STAT1	diamond	#fdffb6
AIDA	ISRE	IRF1	ellipse	#ffd6a5
AIG1	composite	STAT1 + IRF1	rectangle	#caffbf
CASP1	composite	IRF1	rectangle	#ffd6a5
AP5Z1	ISRE	IRF1	ellipse	#ffd6a5
ANXA2R	GAS	STAT1	diamond	#fdffb6
CASP8	ISRE	IRF1	ellipse	#ffd6a5
APOA2	GAS	STAT1	diamond	#fdffb6
CD274	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
B2M	ISRE	IRF1	ellipse	#ffd6a5
CFB	composite	STAT1 + IRF1	rectangle	#caffbf
BATF2	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
ASAP1	GAS	STAT1	diamond	#fdffb6
BTN3A1	ISRE	IRF1	ellipse	#ffd6a5
ASXL1	GAS	STAT1	diamond	#fdffb6
CSF1	composite	STAT1 + IRF1	rectangle	#caffbf
BTN3A2	ISRE	IRF1	ellipse	#ffd6a5
CTSO	composite	IRF1	rectangle	#ffd6a5
BTN3A3	ISRE	IRF1	ellipse	#ffd6a5
C5orf15	ISRE	IRF1	ellipse	#ffd6a5
DDX58	composite	IRF1	rectangle	#ffd6a5
CASP4	composite	STAT1 + IRF1	rectangle	#caffbf
DTX3L	composite	STAT1 + IRF1	rectangle	#caffbf
CASP7	ISRE	IRF1	ellipse	#ffd6a5
BCL6	GAS	STAT1	diamond	#fdffb6
BCLAF1	GAS	STAT1	diamond	#fdffb6
BOD1	GAS	STAT1	diamond	#fdffb6
CEACAM1	ISRE	IRF1	ellipse	#ffd6a5
BTBD1	GAS	STAT1	diamond	#fdffb6
FGL1	GAS	STAT1	diamond	#fdffb6
CMPK2	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
C19orf12	GAS	STAT1	diamond	#fdffb6
C1RL	GAS	STAT1	diamond	#fdffb6
GBP3	composite	STAT1 + IRF1	rectangle	#caffbf
C1S	GAS	STAT1	diamond	#fdffb6
CYTH1	ISRE	IRF1	ellipse	#ffd6a5
C2	GAS	STAT1	diamond	#fdffb6
DDX60	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
C4BPB	GAS	STAT1	diamond	#fdffb6
IFI35	composite	STAT1 + IRF1	rectangle	#caffbf
DDX60L	ISRE	IRF1	ellipse	#ffd6a5
C5	GAS	STAT1	diamond	#fdffb6
IFI6	ISRE	STAT1 + IRF1 + IRF9	ellipse	#ffadad
DNAJA1	ISRE	IRF1	ellipse	#ffd6a5
IFIT5	ISRE	IRF1	ellipse	#ffd6a5
DNPEP	ISRE	IRF1	ellipse	#ffd6a5
CREBRF	GAS	STAT1	diamond	#fdffb6
IFITM3	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
CUTA	GAS	STAT1	diamond	#fdffb6
ERAP1	ISRE	IRF1	ellipse	#ffd6a5
DDX23	GAS	STAT1	diamond	#fdffb6
IRF2	composite	STAT1 + IRF1 + IRF9	rectangle	#ffadad
FAM111A	ISRE	IRF1	ellipse	#ffd6a5
DEK	GAS	STAT1	diamond	#fdffb6
IRF9	composite	STAT1 + IRF9	rectangle	#9bf6ff
