Symbol	Motif	col	Target	Shape
APOL1	composite	#fdffb6	IRF1	rectangle
ACOT7	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
APOL2	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
ACSL5	ISRE	#fdffb6	IRF1	ellipse
APOL6	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
ACY3	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
AGFG2	GAS	#9bf6ff	STAT1	diamond
BCL2L14	composite	#4eb3d3	STAT2	rectangle
ADAR	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
AGT	GAS	#caffbf	STAT1 + STAT2	diamond
AIDA	ISRE	#fdffb6	IRF1	ellipse
AIG1	GAS	#99d8c9	STAT1 + STAT2 + IRF1	diamond
CASP1	composite	#fdffb6	IRF1	rectangle
AP5Z1	ISRE	#fdffb6	IRF1	ellipse
ANXA2R	GAS	#caffbf	STAT1 + STAT2	diamond
CASP8	composite	#99d8c9	STAT1 + STAT2 + IRF1	rectangle
APOA2	GAS	#caffbf	STAT1 + STAT2	diamond
CD274	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
B2M	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
CFB	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
BATF2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
ASAP1	GAS	#caffbf	STAT1 + STAT2	diamond
BTN3A1	ISRE	#fdffb6	IRF1	ellipse
ASXL1	GAS	#caffbf	STAT1 + STAT2	diamond
CSF1	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
BTN3A2	ISRE	#fdffb6	IRF1	ellipse
CTSO	composite	#fdffb6	IRF1	rectangle
BTN3A3	ISRE	#fdffb6	IRF1	ellipse
C5orf15	ISRE	#fdffb6	IRF1	ellipse
DDX58	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
CASP4	ISRE	#99d8c9	STAT1 + STAT2 + IRF1	ellipse
DTX3L	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
CASP7	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
BCL6	GAS	#caffbf	STAT1 + STAT2	diamond
BCLAF1	GAS	#9bf6ff	STAT1	diamond
ETV6	composite	#99d8c9	STAT1 + STAT2 + IRF1	rectangle
BOD1	GAS	#9bf6ff	STAT1	diamond
ETV7	composite	#99d8c9	STAT1 + STAT2 + IRF1	rectangle
CEACAM1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
BTBD1	GAS	#9bf6ff	STAT1	diamond
FGL1	composite	#ffd6a5	STAT1 + STAT2 + IRF9	rectangle
CMPK2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
C19orf12	GAS	#caffbf	STAT1 + STAT2	diamond
C1RL	GAS	#caffbf	STAT1 + STAT2	diamond
GBP3	composite	#99d8c9	STAT1 + STAT2 + IRF1	rectangle
C1S	GAS	#ffd6a5	STAT1 + STAT2 + IRF9	diamond
CYTH1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
C2	GAS	#caffbf	STAT1 + STAT2	diamond
DDX60	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
C4BPB	GAS	#9bf6ff	STAT1	diamond
IFI35	composite	#99d8c9	STAT1 + STAT2 + IRF1	rectangle
DDX60L	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
