Symbol	Motif
ACOT7	ISRE
ACY3	ISRE
ADAR	ISRE
APOL2	composite
APOL6	composite
B2M	ISRE
BATF2	ISRE
C1S	GAS
CASP7	ISRE
CD274	composite
CEACAM1	ISRE
CFB	composite
CMPK2	ISRE
CSF1	composite
CUTA	GAS
CYTH1	ISRE
DDX58	composite
DDX60	ISRE
DDX60L	ISRE
DNAJA1	ISRE
DTX3L	composite
ERAP1	ISRE
FGL1	composite
GBP1	ISRE
GBP1P1	ISRE
GNB4	ISRE
GSDMD	ISRE
HLA-E	GAS
IFI6	ISRE
IFIT1	ISRE
IFIT2	ISRE
IFIT3	ISRE
IFIT5	ISRE
IFITM3	composite
IRF1	GAS
IRF2	composite
IRF9	composite
ISG15	ISRE
ISG20	ISRE
LAP3	ISRE
LGALS3BP	composite
MOV10	ISRE
MVB12A	composite
MX1	composite
MYD88	composite
NAPA	composite
NCOA7	composite
NMI	composite
OAS1	ISRE
OAS2	ISRE
OAS3	ISRE
OGFR	ISRE
PARP10	ISRE
PARP14	composite
PHF11	composite
PLSCR1	composite
PML	composite
PNPT1	ISRE
PRKD2	ISRE
RBCK1	ISRE
RBM43	ISRE
RNF213	composite
RPS12	ISRE
RPS6KB2	GAS
RTP4	ISRE
SAMD9	ISRE
SEC16B	ISRE
SERPING1	GAS
SHISA5	composite
SLC15A3	ISRE
SLFN12	ISRE
SMARCA5	ISRE
SOCS1	ISRE
SP100	ISRE
SP110	composite
SP140L	ISRE
SPTBN1	composite
STAT1	ISRE
STAT2	ISRE
STX17	composite
TAP1	ISRE
TAP2	ISRE
TAPBP	ISRE
TMEM140	ISRE
TRIM14	ISRE
TRIM26	ISRE
USP18	composite
VTN	GAS
XAF1	ISRE
ZC3HAV1	composite
