Symbol	Motif
ACOT7	ISRE
ACY3	ISRE
ADAR	ISRE
AGFG2	GAS
AGT	GAS
AIG1	GAS
ANXA2R	GAS
APOA2	GAS
APOL2	composite
APOL6	composite
ASAP1	GAS
ASXL1	GAS
B2M	ISRE
BATF2	ISRE
BCL6	GAS
BCLAF1	GAS
BOD1	GAS
BTBD1	GAS
C19orf12	GAS
C1RL	GAS
C1S	GAS
C2	GAS
C4BPB	GAS
C5	GAS
CASP4	ISRE
CASP7	ISRE
CASP8	composite
CD274	composite
CEACAM1	ISRE
CFB	composite
CMPK2	ISRE
CREBRF	GAS
CSF1	composite
CUTA	GAS
CYTH1	ISRE
DDX23	GAS
DDX58	composite
DDX60	ISRE
DDX60L	ISRE
DEK	GAS
DNAJA1	ISRE
DNPEP	ISRE
DPAGT1	GAS
DTX3L	composite
EFNA1	GAS
ETV6	composite
ETV7	composite
FAM111A	ISRE
FANCI	GAS
FGA	GAS
FGB	ISRE
FGL1	composite
GADD45B	GAS
GBP1	ISRE
GBP1P1	ISRE
GBP3	composite
GCLM	GAS
GCNT3	GAS
GEN1	GAS
GNA13	ISRE
GNB2	GAS
GNB4	ISRE
GSDMD	ISRE
H6PD	GAS
HABP2	GAS
HIPK3	GAS
HLA-E	GAS
HNRNPR	GAS
HPX	GAS
ICAM1	GAS
IFI35	composite
IFI6	ISRE
IFIT1	ISRE
IFIT2	ISRE
IFIT3	ISRE
IFIT5	ISRE
IFITM3	composite
IMPAD1	GAS
INTS10	GAS
IPO8	GAS
IRF1	GAS
IRF2	composite
IRF9	composite
ISG15	ISRE
ISG20	ISRE
LAP3	ISRE
LGALS3BP	composite
LSR	GAS
MAFF	GAS
MAN1A1	GAS
MAPKAPK3	GAS
MDK	composite
MED16	GAS
MITD1	GAS
MOV10	ISRE
MTPN	GAS
MVB12A	composite
MX1	composite
MYD88	composite
NAMPT	GAS
NAPA	composite
NCOA7	composite
NFKB2	GAS
NFKBIZ	GAS
NMI	composite
NNMT	GAS
NUCB1	GAS
OAS1	ISRE
OAS2	ISRE
OAS3	ISRE
OGFR	ISRE
OSMR	GAS
PARP10	ISRE
PARP14	composite
PDE4D	GAS
PHF11	composite
PLEKHB2	GAS
PLSCR1	composite
PML	composite
PNPT1	ISRE
PRKD2	ISRE
PROS1	GAS
PSMB3	GAS
RAB27A	GAS
RAD1	GAS
RAP1A	GAS
RBCK1	ISRE
RBM42	GAS
RBM43	ISRE
RBM7	GAS
RBP4	GAS
RIPK1	composite
RNF213	composite
RPS12	ISRE
RPS6KB2	GAS
RTP4	ISRE
SAMD9	ISRE
SCN9A	GAS
SDSL	GAS
SEC16B	ISRE
SEPHS2	GAS
SERPINB1	GAS
SERPIND1	composite
SERPING1	GAS
SHC2	GAS
SHISA5	composite
SKI	GAS
SLC15A3	ISRE
SLC25A18	GAS
SLC7A2	GAS
SLFN12	ISRE
SMARCA5	ISRE
SMG1	composite
SMPD1	GAS
SOCS1	ISRE
SOCS3	GAS
SP100	ISRE
SP110	composite
SP140L	ISRE
SPTBN1	composite
SSBP4	GAS
STAT1	ISRE
STAT2	ISRE
STAT3	GAS
STX17	composite
TAP1	ISRE
TAP2	ISRE
TAPBP	ISRE
TCIRG1	GAS
TMEM140	ISRE
TNFAIP1	GAS
TOP1	GAS
TRIM14	ISRE
TRIM26	ISRE
UBE2D1	GAS
USP18	composite
VTN	GAS
WSB1	GAS
XAF1	ISRE
YPEL2	GAS
ZC3HAV1	composite
ZNF24	GAS
