Symbol	Motif
ACOT7	ISRE
ACSL5	ISRE
ACY3	ISRE
ADAR	ISRE
AIDA	ISRE
AIG1	GAS
AP5Z1	ISRE
APOL1	composite
APOL2	composite
APOL6	composite
B2M	ISRE
BATF2	ISRE
BCL2L14	composite
BTN3A1	ISRE
BTN3A2	ISRE
BTN3A3	ISRE
C5orf15	ISRE
CASP1	composite
CASP4	ISRE
CASP7	ISRE
CASP8	composite
CD274	composite
CEACAM1	ISRE
CFB	composite
CMPK2	ISRE
CSF1	composite
CTSO	composite
CYTH1	ISRE
DDX58	composite
DDX60	ISRE
DDX60L	ISRE
DNAJA1	ISRE
DNPEP	ISRE
DTX3L	composite
ERAP1	ISRE
ETV6	composite
ETV7	composite
FAM111A	ISRE
GBP1	ISRE
GBP1P1	ISRE
GBP3	composite
GNA13	ISRE
GNB4	ISRE
GSDMD	ISRE
HLA-E	GAS
IFI35	composite
IFI6	ISRE
IFIT1	ISRE
IFIT2	ISRE
IFIT3	ISRE
IFIT5	ISRE
IFITM3	composite
IL15	composite
IRF2	composite
ISG15	ISRE
ISG20	ISRE
KDSR	ISRE
LAP3	ISRE
LGALS3BP	composite
LOC153684	ISRE
MAN1A1	GAS
MDK	composite
MOV10	ISRE
MVB12A	composite
MX1	composite
MYD88	composite
NAPA	composite
NCOA7	composite
NEDD1	ISRE
NFKBIZ	GAS
NMI	composite
NOD1	ISRE
OAS1	ISRE
OAS2	ISRE
OAS3	ISRE
OGFR	ISRE
OPTN	ISRE
OTUD4	ISRE
PANX1	ISRE
PARP10	ISRE
PARP14	composite
PCNA	ISRE
PHF11	composite
PLSCR1	composite
PML	composite
PNPT1	ISRE
PRKD2	ISRE
PRRC2C	composite
PRRG4	ISRE
PSMB10	ISRE
PSME1	ISRE
RBCK1	ISRE
RBM43	ISRE
RBM7	GAS
RIPK1	composite
RNF213	composite
RPS6KB2	GAS
RTP4	ISRE
SAMD9	ISRE
SEC16B	ISRE
SHISA5	composite
SLC15A3	ISRE
SLFN12	ISRE
SMARCA5	ISRE
SOCS1	ISRE
SP100	ISRE
SP110	composite
SP140L	ISRE
SPTBN1	composite
STAT1	ISRE
STAT2	ISRE
STX17	composite
TAP1	ISRE
TAP2	ISRE
TAPBP	ISRE
TAPBPL	ISRE
TMEM140	ISRE
TRIM14	ISRE
TRIM26	ISRE
TRIM44	ISRE
USF1	ISRE
USP18	composite
XAF1	ISRE
ZC3H7B	ISRE
ZC3HAV1	composite
ZFYVE26	ISRE
