Symbol	Motif
A2M	GAS
ADAR	ISRE
AGFG2	GAS
AGT	GAS
AIG1	GAS
ANXA2R	GAS
APOA2	GAS
APOL1	composite
APOL2	composite
APOL6	composite
ASAP1	GAS
ASXL1	GAS
BATF2	ISRE
BCL2L14	composite
BCL6	GAS
BCLAF1	GAS
BOD1	GAS
BTBD1	GAS
C19orf12	GAS
C1RL	GAS
C1S	GAS
C2	GAS
C4BPB	GAS
C5	GAS
CASP4	ISRE
CD274	composite
CFB	composite
CMPK2	ISRE
CREBRF	GAS
CSF1	composite
CUTA	GAS
DDX23	GAS
DDX60	ISRE
DEK	GAS
DPAGT1	GAS
DTX3L	composite
EFNA1	GAS
ETV6	composite
ETV7	composite
FANCI	GAS
FGA	GAS
FGL1	composite
GADD45B	GAS
GBP1	ISRE
GBP1P1	ISRE
GBP3	composite
GCLM	GAS
GCNT3	GAS
GEN1	GAS
GNB2	GAS
H6PD	GAS
HABP2	GAS
HIPK3	GAS
HLA-E	GAS
HNRNPR	GAS
HPX	GAS
ICAM1	GAS
IFI35	composite
IFI6	ISRE
IFIT3	ISRE
IFITM3	composite
IMPAD1	GAS
INTS10	GAS
IPO8	GAS
IRF1	GAS
IRF2	composite
IRF9	composite
ISG15	ISRE
LAP3	ISRE
LGALS3BP	composite
LSR	GAS
MAFF	GAS
MAN1A1	GAS
MAPKAPK3	GAS
MED16	GAS
MITD1	GAS
MTPN	GAS
MVB12A	composite
MX1	composite
MYD88	composite
NAMPT	GAS
NAPA	composite
NCOA7	composite
NFKB2	GAS
NFKBIZ	GAS
NMI	composite
NNMT	GAS
NUCB1	GAS
OAS3	ISRE
OSMR	GAS
PARP14	composite
PDE4D	GAS
PLEKHB2	GAS
PLSCR1	composite
PROS1	GAS
PSMB3	GAS
RAB27A	GAS
RAD1	GAS
RAP1A	GAS
RBM42	GAS
RBP4	GAS
RIPK1	composite
RNF213	composite
SCN9A	GAS
SDSL	GAS
SEC16B	ISRE
SEPHS2	GAS
SERPINB1	GAS
SERPIND1	composite
SERPING1	GAS
SHC2	GAS
SHISA5	composite
SKI	GAS
SLC25A18	GAS
SLC7A2	GAS
SMG1	composite
SMPD1	GAS
SOCS3	GAS
SP100	ISRE
SP110	composite
SPTBN1	composite
SSBP4	GAS
STAT1	ISRE
STAT2	ISRE
STAT3	GAS
TAP1	ISRE
TCIRG1	GAS
TMEM140	ISRE
TNFAIP1	GAS
TOP1	GAS
UBE2D1	GAS
USP18	composite
VTN	GAS
WSB1	GAS
YPEL2	GAS
ZC3HAV1	composite
ZNF24	GAS
